noise_level,seed,model,accuracy,f1_macro,train_time_s,best_params,f1_shelf_picking,f1_front_zone_bin,f1_special_zone,f1_floor_block,f1_pallet_rack,denoising_gain
0.1,42,dt,0.9722306525037936,0.9662656877443794,7.583098649978638,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9834127740705434,0.981651376146789,0.9342789598108748,0.9640552995391704,0.967930029154519,0.07223065250379357
0.1,42,rf,0.9781487101669196,0.9768329606100222,39.38630366325378,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 100}",0.98365640440897,0.9805405405405404,0.9577464788732394,0.9731232622798888,0.9890981169474728,0.0781487101669196
0.1,42,xgb,0.9819423368740516,0.981272600750833,25.74354887008667,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.986610558530987,0.9837837837837838,0.9635440701430548,0.9823255813953488,0.99009900990099,0.08194233687405161
0.1,123,dt,0.9754172989377844,0.9723351491539144,2.6761155128479004,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.981651376146789,0.9818869964855368,0.9506517690875232,0.9776119402985076,0.9698736637512148,0.07541729893778437
0.1,123,rf,0.9775417298937784,0.9757885198775949,35.55510210990906,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.9832890239270794,0.980857373955244,0.955743879472693,0.9739776951672864,0.9850746268656716,0.07754172989377839
0.1,123,xgb,0.978907435508346,0.9770050146163431,26.278200149536133,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9843152257077276,0.9826746074715756,0.9594470046082948,0.9705882352941176,0.988,0.078907435508346
0.1,456,dt,0.973444613050076,0.9672508049836358,2.701631546020508,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9837569271928148,0.980498374864572,0.9472222222222222,0.9592592592592591,0.9655172413793104,0.07344461305007599
0.1,456,rf,0.9781487101669196,0.976062797285018,39.883915185928345,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9834127740705434,0.9813664596273292,0.960710944808232,0.9676823638042474,0.987141444114738,0.0781487101669196
0.1,456,xgb,0.9817905918057664,0.9801500702408276,23.78490424156189,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9868345735546652,0.9843158464034614,0.9648473635522664,0.976657329598506,0.988095238095238,0.08179059180576642
0.1,789,dt,0.973444613050076,0.9689526197369196,2.678929090499878,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9826369013547032,0.9819163292847504,0.9398148148148148,0.9649289099526066,0.9754661432777232,0.07344461305007599
0.1,789,rf,0.9792109256449164,0.9779080034619496,40.37791585922241,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9849437773966075,0.9808056231413896,0.9598880597014924,0.9777365491651204,0.9861660079051384,0.07921092564491639
0.1,789,xgb,0.9799696509863428,0.9794780725162132,24.16934847831726,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9848745931457016,0.9826933477555436,0.95816091954023,0.9796296296296296,0.9920318725099602,0.07996965098634279
0.1,1024,dt,0.9760242792109256,0.9710547402668565,2.6913247108459477,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9853025386524146,0.9815817984832068,0.9511854951185496,0.966789667896679,0.970414201183432,0.07602427921092558
0.1,1024,rf,0.978907435508346,0.9766908388470638,40.96767830848694,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}",0.9844520288206297,0.9818967846527964,0.9610145608266792,0.9699248120300752,0.9861660079051384,0.078907435508346
0.1,1024,xgb,0.9807283763277692,0.978414528540774,23.70387315750122,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9869980879541108,0.983491204330176,0.9622467771639044,0.9723756906077348,0.9869608826479438,0.08072837632776919
0.15,42,dt,0.973444613050076,0.9674443724120934,2.906330347061157,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.984375,0.979448350459708,0.9456928838951312,0.961038961038961,0.9666666666666668,0.12344461305007604
0.15,42,rf,0.9779969650986344,0.976710582706852,42.97999835014343,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9836252856054836,0.980815995676844,0.9559925093632958,0.9749768303985172,0.9881422924901184,0.12799696509863445
0.15,42,xgb,0.977845220030349,0.9749192045894614,26.09862351417541,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9844976076555024,0.981346309813463,0.958967266021208,0.9666666666666668,0.9831181727904668,0.12784522003034904
0.15,123,dt,0.9728376327769348,0.9658025211888952,3.1277120113372803,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9853193517635844,0.978561736770692,0.9454545454545454,0.9542961608775136,0.9653808110781404,0.12283763277693482
0.15,123,rf,0.9795144157814872,0.9780979900027752,42.77459406852722,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9847677075399848,0.9813261163734776,0.9621318373071528,0.9741219963031424,0.9881422924901184,0.12951441578148726
0.15,123,xgb,0.9801213960546282,0.9781794761843882,35.937840700149536,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9858616736721436,0.9826746074715756,0.962072155411656,0.973172987974098,0.9871159563924676,0.13012139605462825
0.15,456,dt,0.9693474962063732,0.9597964812788656,5.17413330078125,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9810381153035816,0.9796692870696666,0.9457579972183588,0.9591836734693876,0.9333333333333332,0.1193474962063732
0.15,456,rf,0.9770864946889226,0.974799533917722,49.634915590286255,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 100}",0.982095238095238,0.9818967846527964,0.9572970436414828,0.9704251386321626,0.9822834645669292,0.12708649468892264
0.15,456,xgb,0.9773899848254932,0.9738847801085614,26.253297567367557,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9829207445787757,0.9826652221018418,0.96183908045977,0.9599271402550092,0.9820717131474104,0.12738998482549324
0.15,789,dt,0.9731411229135052,0.9668708066720224,3.330324649810791,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9841572819240312,0.9779591836734692,0.9501845018450183,0.9574861367837338,0.9645669291338582,0.12314112291350521
0.15,789,rf,0.9770864946889226,0.975076148329231,49.945379972457886,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9826435246995996,0.980275601188868,0.9579045837231056,0.9722735674676524,0.9822834645669292,0.12708649468892264
0.15,789,xgb,0.9795144157814872,0.9785493465250962,25.502408504486084,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9845094664371772,0.9818673883626522,0.9602954755309326,0.9760147601476016,0.9900596421471172,0.12951441578148726
0.15,1024,dt,0.9735963581183612,0.9673154605981964,3.5189414024353027,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 5}",0.9847560975609756,0.9807848443843032,0.943466172381835,0.9690721649484536,0.958498023715415,0.12359635811836123
0.15,1024,rf,0.977238239757208,0.9748319251654094,45.817598819732666,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9830379264341528,0.980815995676844,0.9583528310715956,0.966789667896679,0.9851632047477744,0.12723823975720805
0.15,1024,xgb,0.9798179059180576,0.9777105019767346,25.485763549804688,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9860340539506408,0.982995951417004,0.9593345656192236,0.9731232622798888,0.9870646766169154,0.12981790591805764
0.2,42,dt,0.9698027314112292,0.9637627609825536,3.270822286605835,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.980107115531752,0.9797242497972424,0.9367441860465116,0.9481346678798908,0.9741035856573704,0.16980273141122915
0.2,42,rf,0.9764795144157816,0.973730972200402,43.66244196891785,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9830508474576272,0.9796913078797724,0.9570093457943926,0.967622571692877,0.98128078817734,0.17647951441578158
0.2,42,xgb,0.9783004552352048,0.975946136397386,25.21534419059753,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9860553963705826,0.9796472184531886,0.9575253924284396,0.9723756906077348,0.984126984126984,0.17830045523520477
0.2,123,dt,0.9681335356600912,0.957317039831988,3.413460254669189,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 2}",0.983057300590139,0.978054727716066,0.9372071227741332,0.9590536851683348,0.9292123629112662,0.16813353566009115
0.2,123,rf,0.9775417298937784,0.9754860394974422,43.79847311973572,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9838126071224528,0.9797352067008916,0.9582355701548568,0.9704251386321626,0.9852216748768472,0.17754172989377837
0.2,123,xgb,0.978907435508346,0.9774352278835844,25.09844017028809,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.985114503816794,0.9807848443843032,0.958139534883721,0.9759704251386322,0.987166831194472,0.17890743550834598
0.2,456,dt,0.9679817905918058,0.9574758057421076,3.2680776119232178,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9833492822966508,0.9772481040086674,0.9377901578458682,0.9455216989843028,0.9434697855750488,0.16798179059180574
0.2,456,rf,0.975113808801214,0.9723840710582556,51.13574767112732,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.980743565300286,0.97971328103868,0.9559099437148216,0.9632352941176472,0.9823182711198428,0.17511380880121397
0.2,456,xgb,0.9763277693474962,0.9733340477593896,35.909265995025635,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9827652240520872,0.9821525148729042,0.9534347625633932,0.963302752293578,0.985014985014985,0.17632776934749617
0.2,789,dt,0.9646433990895296,0.953249789165216,5.06215500831604,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9808502489467636,0.9764291519913304,0.9297752808988764,0.935395814376706,0.9437984496124032,0.16464339908952952
0.2,789,rf,0.9758725341426404,0.972836023971886,68.73593306541443,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.982656756241662,0.9800215982721382,0.9544814641013608,0.9666666666666668,0.9803536345776032,0.17587253414264037
0.2,789,xgb,0.9802731411229136,0.9791944059671432,34.493932485580444,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 6, 'classifier__n_estimators': 100}",0.9847094801223242,0.984341252699784,0.9593721144967684,0.9794776119402984,0.9880715705765408,0.1802731411229136
0.2,1024,dt,0.966464339908953,0.9568601729004884,5.168222188949585,"{'classifier__max_depth': 10, 'classifier__min_samples_split': 10}",0.9827850038255548,0.972252448313384,0.937095282146161,0.9457221711131556,0.9464459591041868,0.16646433990895293
0.2,1024,rf,0.975113808801214,0.9723947910732336,68.89464712142944,"{'classifier__max_depth': 20, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}",0.9819082079603884,0.9775615031089484,0.9562764456981664,0.9658356417359188,0.9803921568627452,0.17511380880121397
0.2,1024,xgb,0.9776934749620636,0.9739753080381764,35.66495990753174,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 8, 'classifier__n_estimators': 100}",0.9837195939475196,0.9840669727248176,0.9582560296846012,0.9597069597069596,0.984126984126984,0.17769347496206356
